5309,KABUPATEN FLORES TIMUR
5310,KABUPATEN SIKKA
5311,KABUPATEN ENDE
5312,KABUPATEN NGADA
5313,KABUPATEN MANGGARAI
5314,KABUPATEN ROTE NDAO
5315,KABUPATEN MANGGARAI BARAT
5316,KABUPATEN SUMBA TENGAH
5317,KABUPATEN SUMBA BARAT DAYA
5318,KABUPATEN NAGEKEO
5319,KABUPATEN MANGGARAI TIMUR
5320,KABUPATEN SABU RAIJUA
5321,KABUPATEN MALAKA
5371,KOTA KUPANG
6101,KABUPATEN SAMBAS
6102,KABUPATEN BENGKAYANG
6103,KABUPATEN LANDAK
6104,KABUPATEN MEMPAWAH
6105,KABUPATEN SANGGAU
6106,KABUPATEN KETAPANG
6107,KABUPATEN SINTANG
6108,KABUPATEN KAPUAS HULU
6109,KABUPATEN SEKADAU
6110,KABUPATEN MELAWI
6111,KABUPATEN KAYONG UTARA
6112,KABUPATEN KUBU RAYA
6171,KOTA PONTIANAK
6172,KOTA SINGKAWANG
6201,KABUPATEN KOTAWARINGIN BARAT
6202,KABUPATEN KOTAWARINGIN TIMUR
6203,KABUPATEN KAPUAS
6204,KABUPATEN BARITO SELATAN
6205,KABUPATEN BARITO UTARA
6206,KABUPATEN SUKAMARA
6207,KABUPATEN LAMANDAU
6208,KABUPATEN SERUYAN
6209,KABUPATEN KATINGAN
6210,KABUPATEN PULANG PISAU
6211,KABUPATEN GUNUNG MAS
6212,KABUPATEN BARITO TIMUR
6213,KABUPATEN MURUNG RAYA
6271,KOTA PALANGKA RAYA
6301,KABUPATEN TANAH LAUT
6302,KABUPATEN KOTA BARU
6303,KABUPATEN BANJAR
6304,KABUPATEN BARITO KUALA
6305,KABUPATEN TAPIN
6306,KABUPATEN HULU SUNGAI SELATAN
6307,KABUPATEN HULU SUNGAI TENGAH
6308,KABUPATEN HULU SUNGAI UTARA
6309,KABUPATEN TABALONG
6310,KABUPATEN TANAH BUMBU
6311,KABUPATEN BALANGAN
6371,KOTA BANJARMASIN
6372,KOTA BANJAR BARU
6401,KABUPATEN PASER
6402,KABUPATEN KUTAI BARAT
6403,KABUPATEN KUTAI KARTANEGARA
6404,KABUPATEN KUTAI TIMUR
6405,KABUPATEN BERAU
6409,KABUPATEN PENAJAM PASER UTARA
6411,KABUPATEN MAHAKAM HULU
6471,KOTA BALIKPAPAN
6472,KOTA SAMARINDA
6474,KOTA BONTANG
6501,KABUPATEN MALINAU
6502,KABUPATEN BULUNGAN
6503,KABUPATEN TANA TIDUNG
6504,KABUPATEN NUNUKAN
6571,KOTA TARAKAN
7101,KABUPATEN BOLAANG MONGONDOW
7102,KABUPATEN MINAHASA
7103,KABUPATEN KEPULAUAN SANGIHE
7104,KABUPATEN KEPULAUAN TALAUD
7105,KABUPATEN MINAHASA SELATAN
7106,KABUPATEN MINAHASA UTARA
7107,KABUPATEN BOLAANG MONGONDOW UTARA
7108,KABUPATEN SIAU TAGULANDANG BIARO
7109,KABUPATEN MINAHASA TENGGARA
7110,KABUPATEN BOLAANG MONGONDOW SELATAN
7111,KABUPATEN BOLAANG MONGONDOW TIMUR
7171,KOTA MANADO
7172,KOTA BITUNG
7173,KOTA TOMOHON
7174,KOTA KOTAMOBAGU
7201,KABUPATEN BANGGAI KEPULAUAN
7202,KABUPATEN BANGGAI
7203,KABUPATEN MOROWALI
7204,KABUPATEN POSO
7205,KABUPATEN DONGGALA
7206,KABUPATEN TOLI-TOLI
7207,KABUPATEN BUOL
7208,KABUPATEN PARIGI MOUTONG
7209,KABUPATEN TOJO UNA-UNA
7210,KABUPATEN SIGI
7211,KABUPATEN BANGGAI LAUT
7212,KABUPATEN MOROWALI UTARA
7271,KOTA PALU
7301,KABUPATEN KEPULAUAN SELAYAR
7302,KABUPATEN BULUKUMBA
7303,KABUPATEN BANTAENG
7304,KABUPATEN JENEPONTO
7305,KABUPATEN TAKALAR
7306,KABUPATEN GOWA
7307,KABUPATEN SINJAI
7308,KABUPATEN MAROS
7309,KABUPATEN PANGKAJENE DAN KEPULAUAN
7310,KABUPATEN BARRU
7311,KABUPATEN BONE
7312,KABUPATEN SOPPENG
7313,KABUPATEN WAJO
7314,KABUPATEN SIDENRENG RAPPANG
7315,KABUPATEN PINRANG
7316,KABUPATEN ENREKANG
7317,KABUPATEN LUWU
7318,KABUPATEN TANA TORAJA
7322,KABUPATEN LUWU UTARA
7325,KABUPATEN LUWU TIMUR
7326,KABUPATEN TORAJA UTARA
7371,KOTA MAKASSAR
7372,KOTA PAREPARE
7373,KOTA PALOPO
7401,KABUPATEN BUTON
7402,KABUPATEN MUNA
7403,KABUPATEN KONAWE
7404,KABUPATEN KOLAKA
7405,KABUPATEN KONAWE SELATAN
7406,KABUPATEN BOMBANA
7407,KABUPATEN WAKATOBI
7408,KABUPATEN KOLAKA UTARA
7409,KABUPATEN BUTON UTARA
7410,KABUPATEN KONAWE UTARA
7411,KABUPATEN KOLAKA TIMUR
7412,KABUPATEN KONAWE KEPULAUAN
7413,KABUPATEN MUNA BARAT
7414,KABUPATEN BUTON TENGAH
7415,KABUPATEN BUTON SELATAN
7471,KOTA KENDARI
7472,KOTA BAUBAU
7501,KABUPATEN BOALEMO
7502,KABUPATEN GORONTALO
7503,KABUPATEN POHUWATO
7504,KABUPATEN BONE BOLANGO
7505,KABUPATEN GORONTALO UTARA
7571,KOTA GORONTALO
7601,KABUPATEN MAJENE
7602,KABUPATEN POLEWALI MANDAR
7603,KABUPATEN MAMASA
7604,KABUPATEN MAMUJU
7605,KABUPATEN MAMUJU UTARA
7606,KABUPATEN MAMUJU TENGAH
